CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE130130,2/01/2021 19:00,063XX S WHIPPLE ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,823,17,7,1157143,1862363,41.77808756,-87.69945846,"(41.778087559, -87.699458456)"
JD389467,10/05/2020 13:40,002XX W 103RD ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,GAS STATION,N,N,511,9,3,1176618,1836644,41.70709533,-87.62883442,"(41.707095328, -87.628834415)"
JD393423,10/09/2020 2:56,004XX S FRANKLIN ST,560,ASSAULT,SIMPLE,SIDEWALK,N,N,122,25,08A,1174390,1898283,41.87628892,-87.63516022,"(41.87628892, -87.635160218)"
JD398615,10/09/2020 10:00,016XX W JULIAN ST,890,THEFT,FROM BUILDING,RESIDENCE - YARD (FRONT / BACK),N,N,1433,2,6,1165142,1909891,41.90834355,-87.6687855,"(41.908343553, -87.668785495)"
JD393784,10/09/2020 12:50,007XX W DIVERSEY PKWY,560,ASSAULT,SIMPLE,RESIDENCE - PORCH / HALLWAY,N,N,1934,44,08A,1170960,1918833,41.93275517,-87.64715037,"(41.932755165, -87.647150367)"
JD394286,10/09/2020 19:17,008XX N CENTRAL PARK AVE,2017,NARCOTICS,MANUFACTURE / DELIVER - CRACK,SIDEWALK,Y,N,1121,27,18,1152233,1905273,41.89593597,-87.71632889,"(41.895935969, -87.716328893)"
JD398198,10/09/2020 16:30,041XX N ALBANY AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1724,33,7,1154980,1927311,41.95635533,-87.70564718,"(41.956355327, -87.705647184)"
JD396682,10/09/2020 17:00,085XX S VINCENNES AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,N,N,622,21,14,1173250,1848198,41.73887608,-87.64082762,"(41.738876076, -87.640827623)"
JD393759,10/09/2020 12:13,015XX N DAMEN AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,Y,N,1424,1,6,1162794,1909952,41.90856054,-87.67740914,"(41.908560535, -87.677409143)"
JD394090,10/09/2020 17:00,004XX E 34TH ST,560,ASSAULT,SIMPLE,GROCERY FOOD STORE,N,N,211,4,08A,1179925,1882604,41.83313943,-87.61531921,"(41.833139425, -87.615319213)"
JD394254,10/09/2020 19:20,036XX N CICERO AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1634,30,08B,1143732,1923649,41.94652511,-87.7470902,"(41.946525106, -87.747090201)"
JD393920,10/09/2020 14:01,062XX N FRANCISCO AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,ALLEY,Y,N,2413,50,15,1155880,1941221,41.99450697,-87.70196165,"(41.994506972, -87.701961649)"
JD394334,10/09/2020 20:35,033XX N CLIFTON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,Y,1924,44,14,1168028,1922333,41.94242322,-87.65782376,"(41.942423217, -87.657823761)"
JD398848,10/09/2020 9:30,084XX S VERNON AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,632,6,7,1180829,1849086,41.74114214,-87.61303262,"(41.74114214, -87.61303262)"
JD398521,10/09/2020 21:30,075XX S CARPENTER ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,612,17,14,1170618,1854867,41.75723442,-87.65027678,"(41.757234418, -87.650276775)"
JD393935,10/09/2020 15:15,048XX N CENTRAL AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1623,45,6,1138133,1931441,41.96801033,-87.76748157,"(41.968010333, -87.767481572)"
JD398368,10/08/2020 18:00,045XX W OGDEN AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,OTHER (SPECIFY),N,N,1013,22,26,1146570,1887238,41.84655561,-87.73758781,"(41.846555612, -87.737587806)"
JD394822,10/09/2020 17:00,029XX S DR MARTIN LUTHER KING JR DR,820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,133,4,6,1179389,1885691,41.84162265,-87.61719144,"(41.841622651, -87.617191438)"
JD398123,10/07/2020 11:58,082XX S VERNON AVE,820,THEFT,$500 AND UNDER,RESIDENCE - YARD (FRONT / BACK),N,N,631,6,6,1180681,1850380,41.74469642,-87.61353522,"(41.744696422, -87.61353522)"
JE189428,4/04/2021 17:00,115XX S YALE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,522,34,08B,1176675,1828470,41.6846634,-87.6288705,"(41.684663397, -87.628870501)"
JD469604,12/26/2020 03:12:00 AM,009XX E 76TH ST,560,ASSAULT,SIMPLE,RESIDENCE - YARD (FRONT / BACK),N,Y,624,8,08A,1183737,1854814,41.75679309,-87.60219968,"(41.756793086, -87.602199684)"
JE223647,5/08/2021 13:45,052XX S HARPER AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL / MOTEL,N,Y,234,4,08B,1187174,1870653,41.80017577,-87.58910149,"(41.800175766, -87.589101486)"
JE130060,2/01/2021 17:20,001XX E OAK ST,810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,N,N,1833,42,6,1177127,1907237,41.90079763,-87.62483955,"(41.900797625, -87.624839547)"
JE129034,2/01/2021 10:00,015XX E 69TH PL,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,332,5,14,1187780,1859216,41.76877732,-87.58724308,"(41.768777322, -87.587243082)"
JD393399,10/09/2020 0:28,057XX N MAPLEWOOD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2011,40,14,1158296,1937970,41.98553687,-87.69316389,"(41.985536869, -87.693163885)"
JD397259,10/09/2020 23:30,003XX W 109TH PL,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,513,34,08B,1176031,1832313,41.69522359,-87.63111332,"(41.695223594, -87.631113315)"
JD394043,10/09/2020 16:40,001XX S KEDZIE AVE,530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,SIDEWALK,N,N,1124,28,04A,1155070,1899228,41.87929144,-87.70607144,"(41.879291442, -87.706071435)"
JD393844,10/09/2020 13:48,047XX S MICHIGAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,224,3,14,1177954,1873716,41.808795,-87.62282078,"(41.808794999, -87.622820778)"
JD394801,10/09/2020 14:09,004XX E 63RD ST,031A,ROBBERY,ARMED - HANDGUN,CONVENIENCE STORE,N,N,312,20,3,1180454,1863341,41.78026798,-87.61396982,"(41.780267983, -87.613969818)"
JD393441,10/09/2020 2:44,010XX W ROOSEVELT RD,2015,NARCOTICS,MANUFACTURE / DELIVER - HALLUCINOGEN,STREET,Y,N,1232,25,18,1169840,1894888,41.86707313,-87.65196511,"(41.867073132, -87.65196511)"
JD394881,10/09/2020 7:30,052XX N DELPHIA AVE,820,THEFT,$500 AND UNDER,OTHER (SPECIFY),N,N,1614,41,6,1117975,1933590,41.97424885,-87.84155748,"(41.97424885, -87.841557483)"
JE129717,2/01/2021 20:58,063XX S CAMPBELL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,Y,825,16,14,1160793,1862605,41.77867703,-87.68607066,"(41.778677031, -87.686070655)"
JD393623,10/09/2020 2:00,026XX W MONTROSE AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,APARTMENT,N,N,1911,47,14,1158105,1929128,41.9612779,-87.69410903,"(41.961277895, -87.694109028)"
JD394345,10/09/2020 21:08,083XX S BENNETT AVE,560,ASSAULT,SIMPLE,RESIDENCE,N,N,412,8,08A,1190313,1849980,41.74337227,-87.57825564,"(41.74337227, -87.578255643)"
JD397806,10/05/2020 12:00,114XX S FOREST AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,N,N,531,9,26,1180289,1829115,41.68635151,-87.61562106,"(41.686351513, -87.615621062)"
JD393892,10/09/2020 14:00,005XX E 42ND PL,820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,N,N,214,4,6,1180529,1876944,41.81759409,-87.6132771,"(41.817594086, -87.613277104)"
JD398564,09/21/2020 12:00:00 PM,030XX W 62ND ST,810,THEFT,OVER $500,APARTMENT,N,Y,823,16,6,1157317,1863373,41.78085563,-87.69879324,"(41.780855625, -87.698793237)"
JD394405,10/09/2020 18:30,007XX W LAKE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1214,27,14,1171203,1901678,41.88567557,-87.64676199,"(41.885675573, -87.646761991)"
JE189050,4/04/2021 9:58,015XX W 77TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,612,17,08B,1167287,1853665,41.75400789,-87.66251874,"(41.754007893, -87.662518743)"
JD394703,10/09/2020 13:00,005XX N STATE ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE - GARAGE,N,N,1831,42,7,1176273,1904005,41.89194817,-87.62807389,"(41.891948167, -87.628073894)"
JD393449,10/09/2020 4:59,025XX S ALBANY AVE,498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,Y,Y,1033,12,04B,1156106,1886824,41.84523269,-87.70260201,"(41.84523269, -87.702602005)"
JD394131,10/09/2020 17:33,065XX S MARYLAND AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,RESIDENCE,N,N,321,20,15,1183018,1861856,41.77613376,-87.60461602,"(41.776133761, -87.604616017)"
JD394435,10/09/2020 23:00,115XX S RACINE AVE,460,BATTERY,SIMPLE,SIDEWALK,N,N,524,34,08B,1170403,1828116,41.68383041,-87.65184079,"(41.683830408, -87.651840788)"
JD394347,10/09/2020 20:20,022XX N WESTERN AVE,560,ASSAULT,SIMPLE,SIDEWALK,N,Y,1432,32,08A,1159996,1914852,41.92206475,-87.6875521,"(41.922064752, -87.687552095)"
JD395747,10/09/2020 11:00,010XX N LA SALLE DR,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,STREET,N,N,1824,27,11,1174948,1907242,41.90086045,-87.63284292,"(41.900860447, -87.632842923)"
JD394545,10/09/2020 14:00,066XX S RHODES AVE,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,321,20,5,1181041,1861166,41.77428608,-87.6118847,"(41.774286076, -87.611884699)"
JE129658,2/01/2021 19:00,029XX N NEWLAND AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2511,36,08B,1129582,1918669,41.9331132,-87.79921624,"(41.933113195, -87.799216238)"
JD393985,10/09/2020 15:50,002XX S HOYNE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE - YARD (FRONT / BACK),N,Y,1225,27,08B,1162441,1898947,41.87836934,-87.67901419,"(41.878369335, -87.679014188)"
JD362943,9/10/2020 16:40,020XX N TRIPP AVE,530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,SIDEWALK,N,N,2522,35,04A,1147719,1913271,41.91797118,-87.73270231,"(41.917971179, -87.732702313)"
JD394302,10/09/2020 20:10,032XX W 64TH ST,460,BATTERY,SIMPLE,RESIDENCE - YARD (FRONT / BACK),N,N,823,17,08B,1155935,1862005,41.7771295,-87.70389668,"(41.777129503, -87.703896675)"
JE188884,4/04/2021 2:00,073XX S INDIANA AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,ALLEY,N,N,323,6,15,1178868,1856492,41.76150987,-87.61999256,"(41.761509869, -87.619992562)"
JD390069,10/05/2020 21:03,081XX S LAFLIN ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,614,21,08B,1167754,1850668,41.7457737,-87.66089318,"(41.745773704, -87.660893178)"
JD396757,10/09/2020 17:00,022XX W WASHINGTON BLVD,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,N,N,1223,27,5,1161450,1900645,41.88304947,-87.68260565,"(41.883049471, -87.68260565)"
JD470136,12/26/2020 04:35:00 PM,035XX W FIFTH AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1133,28,14,1152735,1898001,41.87597093,-87.71467769,"(41.875970933, -87.714677692)"
JE129094,2/01/2021 11:28,033XX W 13TH ST,820,THEFT,$500 AND UNDER,APARTMENT,N,Y,1021,24,6,1154334,1893845,41.86453465,-87.7089177,"(41.864534646, -87.708917701)"
JD397765,10/07/2020 11:38,034XX N HAMLIN AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,STREET,N,N,1732,30,26,1150453,1922531,41.94332843,-87.72241496,"(41.943328426, -87.722414959)"
JD473732,8/09/2020 13:00,051XX S KEATING AVE,560,ASSAULT,SIMPLE,RESIDENCE,N,N,815,14,08A,1145561,1870175,41.79975139,-87.74172203,"(41.799751389, -87.741722028)"
JE129310,2/01/2021 13:00,091XX S LOOMIS ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,2222,21,11,1168601,1844105,41.72774569,-87.65797831,"(41.727745685, -87.657978312)"
JD394642,10/09/2020 19:30,035XX W BLOOMINGDALE AVE,810,THEFT,OVER $500,STREET,N,N,1422,26,6,1152869,1911709,41.91358438,-87.71382227,"(41.913584379, -87.713822273)"
JD393431,10/09/2020 3:21,079XX S WABASH AVE,930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,N,N,623,6,7,1178086,1852475,41.75050452,-87.62298021,"(41.750504523, -87.622980208)"
JD393442,10/09/2020 4:10,019XX W 79TH ST,502R,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,STREET,Y,N,611,17,26,1164917,1852279,41.75025489,-87.67124311,"(41.750254891, -87.67124311)"
JD394289,10/09/2020 18:00,056XX W BELMONT AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1633,30,6,1138058,1920707,41.93855656,-87.76801769,"(41.938556557, -87.768017693)"
JD394204,10/09/2020 18:40,015XX W CHICAGO AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,1215,1,6,1165878,1905431,41.89608933,-87.66620922,"(41.896089327, -87.666209218)"
JD394376,10/09/2020 18:39,019XX E 96TH ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,Y,Y,431,7,26,1190999,1841700,41.72063461,-87.57600908,"(41.720634605, -87.576009081)"
JD393422,10/09/2020 2:55,133XX S CARONDOLET AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,433,10,08B,1198440,1817101,41.65294961,-87.54957473,"(41.65294961, -87.549574733)"
JD396664,10/09/2020 16:30,029XX W FERDINAND ST,610,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,N,N,1221,27,5,1156671,1903148,41.89001604,-87.70008659,"(41.890016038, -87.700086593)"
JE129641,2/01/2021 19:00,021XX N MILWAUKEE AVE,820,THEFT,$500 AND UNDER,STREET,N,N,1431,1,6,1158758,1913984,41.91970839,-87.69212472,"(41.919708389, -87.692124715)"
JD396226,10/09/2020 17:20,049XX S WINCHESTER AVE,810,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,N,N,931,15,6,1164190,1871793,41.80381922,-87.67335838,"(41.803819222, -87.673358384)"
JE121926,1/07/2021 18:58,060XX W WELLINGTON AVE,890,THEFT,FROM BUILDING,RESIDENCE,N,N,2511,30,6,1135409,1919311,41.9347733,-87.7777868,"(41.934773303, -87.777786797)"
JD396812,10/09/2020 17:00,014XX S BLUE ISLAND AVE,610,BURGLARY,FORCIBLE ENTRY,CONSTRUCTION SITE,N,N,1233,25,5,1168333,1893062,41.86209513,-87.65755025,"(41.862095128, -87.657550249)"
JD397810,10/03/2020 1:00,028XX S CHRISTIANA AVE,460,BATTERY,SIMPLE,OTHER (SPECIFY),N,N,1032,22,08B,1154493,1884964,41.84016098,-87.70857122,"(41.840160981, -87.708571215)"
JD393480,10/09/2020 6:00,108XX S TORRENCE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,434,10,08B,1195567,1833703,41.69857858,-87.55954111,"(41.698578575, -87.559541107)"
JD393626,10/09/2020 9:45,0000X S SPRINGFIELD AVE,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),SIDEWALK,Y,N,1122,28,18,1150398,1899587,41.880369,-87.72321699,"(41.880368996, -87.723216993)"
JD393532,10/09/2020 8:20,0000X E GARFIELD BLVD,320,ROBBERY,STRONG ARM - NO WEAPON,CTA BUS STOP,N,N,225,20,3,1177772,1868448,41.79434325,-87.62364784,"(41.794343246, -87.623647843)"
JD394104,10/09/2020 17:30,009XX N DAMEN AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1212,2,7,1162902,1906185,41.89822134,-87.67711826,"(41.89822134, -87.67711826)"
JD398430,09/29/2020 07:00:00 AM,006XX W FULTON ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER (SPECIFY),N,N,1214,42,11,1172070,1902098,41.886809,-87.64356582,"(41.886809001, -87.643565821)"
JD393898,10/09/2020 14:55,001XX N STATE ST,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,111,42,6,1176352,1900918,41.88347549,-87.62787697,"(41.883475491, -87.627876969)"
JD470690,12/26/2020 10:00:00 PM,048XX W MONROE ST,820,THEFT,$500 AND UNDER,APARTMENT,N,N,1533,28,6,1144183,1899224,41.87949185,-87.7460472,"(41.879491854, -87.746047195)"
JD394279,10/09/2020 19:38,029XX W 25TH ST,820,THEFT,$500 AND UNDER,RESIDENCE,N,N,1033,12,6,1157226,1887262,41.84641197,-87.69847984,"(41.846411966, -87.698479836)"
JD394807,10/09/2020 21:50,006XX W HUBBARD ST,820,THEFT,$500 AND UNDER,STREET,N,N,1214,27,6,1171651,1903301,41.89011934,-87.64506905,"(41.890119341, -87.645069054)"
JD469817,12/26/2020 10:30:00 AM,018XX S HAMLIN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,1014,24,08B,1151343,1890803,41.85624621,-87.71997748,"(41.856246213, -87.719977483)"
JD337265,08/18/2020 10:00:00 AM,047XX S KEDVALE AVE,810,THEFT,OVER $500,RESIDENCE,N,N,815,14,6,1149493,1872856,41.80703328,-87.72723278,"(41.807033284, -87.727232777)"
JD398141,9/04/2020 0:00,034XX W ADAMS ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,N,Y,1123,28,26,1153415,1898859,41.8783119,-87.71215816,"(41.878311899, -87.71215816)"
JE129567,2/01/2021 17:30,071XX S JEFFERY BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,333,5,08B,1190777,1858173,41.76584338,-87.5762914,"(41.765843381, -87.576291395)"
JD393768,10/09/2020 13:05,052XX W MADISON ST,560,ASSAULT,SIMPLE,BANK,N,N,1522,29,08A,1141642,1899526,41.88036792,-87.75537001,"(41.880367915, -87.755370011)"
JD394294,10/09/2020 20:05,032XX S MORGAN ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,913,11,14,1170167,1883575,41.83602218,-87.65109462,"(41.836022175, -87.651094622)"
JD393721,10/09/2020 2:00,006XX N AVERS AVE,820,THEFT,$500 AND UNDER,STREET,N,Y,1122,27,6,1150609,1904006,41.89249108,-87.72232668,"(41.892491084, -87.722326682)"
JD393908,10/09/2020 14:34,037XX W CHICAGO AVE,2027,NARCOTICS,POSSESS - CRACK,SIDEWALK,Y,N,1112,27,18,1151402,1905083,41.89543095,-87.71938599,"(41.895430948, -87.719385994)"
JD394296,10/09/2020 20:00,015XX S TRIPP AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,Y,1012,24,14,1148303,1892144,41.85998513,-87.73110142,"(41.859985133, -87.731101424)"
JD395156,10/09/2020 18:00,032XX N SHEFFIELD AVE,820,THEFT,$500 AND UNDER,BAR OR TAVERN,N,N,1924,44,6,1169039,1921667,41.94057376,-87.65412729,"(41.940573762, -87.654127293)"
JD394154,10/09/2020 12:00,057XX S CLAREMONT AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER (SPECIFY),N,N,824,16,7,1161734,1866564,41.78952157,-87.68251101,"(41.789521572, -87.682511006)"
JD394343,10/09/2020 20:45,029XX N AUSTIN AVE,820,THEFT,$500 AND UNDER,ALLEY,N,N,2514,30,6,1135885,1918869,41.93355193,-87.77604802,"(41.933551929, -87.776048018)"
JD394292,10/09/2020 19:48,097XX S HAMILTON AVE,330,ROBBERY,AGGRAVATED,STREET,N,N,2213,19,3,1163744,1840079,41.71680089,-87.67588303,"(41.71680089, -87.675883026)"
JD394446,10/09/2020 23:09,067XX N NORTHWEST HWY,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1612,41,14,1124132,1944604,42.00437318,-87.81867248,"(42.004373175, -87.818672482)"
JD393472,10/09/2020 6:00,047XX N MALDEN ST,460,BATTERY,SIMPLE,APARTMENT,N,N,1913,46,08B,1166621,1931521,41.96766578,-87.66273085,"(41.967665781, -87.662730846)"
JD385898,10/02/2020 0:20,024XX W 60TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,824,16,08B,1160969,1864806,41.78471324,-87.68536462,"(41.78471324, -87.685364618)"
JD394423,10/09/2020 23:03,012XX W 74TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,734,17,08B,1169274,1855709,41.75957416,-87.655178,"(41.759574155, -87.655178004)"
JD395077,10/09/2020 23:00,002XX E OHIO ST,1360,CRIMINAL TRESPASS,TO VEHICLE,OTHER (SPECIFY),N,N,1834,42,26,,,,,
JD398130,09/29/2020 05:30:00 PM,076XX S HALSTED ST,031A,ROBBERY,ARMED - HANDGUN,GAS STATION,N,N,621,17,3,1172288,1854297,41.75563372,-87.64417322,"(41.755633717, -87.644173224)"
JD394213,10/09/2020 18:30,052XX W BELMONT AVE,820,THEFT,$500 AND UNDER,STREET,N,N,2514,31,6,1140865,1920773,41.93868641,-87.75769954,"(41.938686409, -87.757699537)"
JD394963,10/09/2020 20:00,001XX E RANDOLPH ST,890,THEFT,FROM BUILDING,RESTAURANT,N,N,114,42,6,1177619,1901296,41.88448407,-87.62321302,"(41.884484068, -87.623213022)"
JD395145,10/09/2020 17:45,012XX S WABASH AVE,460,BATTERY,SIMPLE,GROCERY FOOD STORE,N,N,131,3,08B,1176963,1894850,41.86681074,-87.62581703,"(41.866810739, -87.625817031)"
JD394246,10/09/2020 19:32,066XX S EVANS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,321,20,14,1182358,1861229,41.77442854,-87.60705491,"(41.774428535, -87.607054913)"
JE229831,9/01/2020 0:00,059XX N LANDERS AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,1621,39,08A,,,,,
JD393445,10/09/2020 3:52,048XX S DREXEL BLVD,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,N,N,223,4,15,1183005,1873039,41.80682118,-87.60431604,"(41.806821175, -87.604316037)"
JD398517,09/24/2020 05:15:00 PM,117XX S ELIZABETH ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,N,N,524,34,26,1170108,1826897,41.68049167,-87.65295593,"(41.680491667, -87.652955928)"
JD386528,10/02/2020 16:00,016XX W LAKE ST,880,THEFT,PURSE-SNATCHING,CTA TRAIN,Y,N,1224,27,6,1165537,1901501,41.88531238,-87.66757363,"(41.885312381, -87.667573631)"
JD394001,10/09/2020 16:00,053XX S LAWNDALE AVE,430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,N,N,822,23,04B,1152611,1869052,41.79653365,-87.71589701,"(41.796533653, -87.715897012)"
JD393380,10/09/2020 0:20,009XX W 51ST ST,2022,NARCOTICS,POSSESS - COCAINE,STREET,Y,N,933,20,18,1171007,1871016,41.80154069,-87.64837973,"(41.801540691, -87.648379732)"
JD473925,12/23/2020 09:00:00 AM,042XX N MONITOR AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,1624,38,11,1136590,1927514,41.9572621,-87.77324954,"(41.957262096, -87.773249543)"
JD398148,10/07/2020 20:00,042XX N CICERO AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1624,45,14,1143615,1927574,41.95729785,-87.74742163,"(41.957297846, -87.747421631)"
JD394111,10/09/2020 17:43,083XX S STONY ISLAND AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,N,N,412,8,04A,1188256,1850062,41.74364657,-87.58578989,"(41.743646568, -87.585789887)"
JD393887,10/09/2020 1:00,020XX W WELLINGTON AVE,820,THEFT,$500 AND UNDER,STREET,N,N,1931,32,6,1162291,1919919,41.93592119,-87.67897753,"(41.935921185, -87.678977527)"
JD394763,10/09/2020 16:00,113XX S AVENUE N,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,433,10,5,1201234,1830429,41.68945284,-87.53890237,"(41.689452835, -87.53890237)"
JD393798,10/09/2020 13:02,015XX N CLYBOURN AVE,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,GROCERY FOOD STORE,N,N,1822,27,10,1171167,1910123,41.90884995,-87.64664598,"(41.908849952, -87.646645976)"
JE131307,2/01/2021 13:26,006XX W 87TH ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,N,N,2223,21,11,1173378,1847109,41.73588489,-87.64039078,"(41.735884888, -87.640390783)"
JD396984,10/09/2020 21:07,017XX W 102ND ST,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE - YARD (FRONT / BACK),N,N,2213,19,26,1166645,1836979,41.70823272,-87.66534602,"(41.708232715, -87.665346021)"
JD393914,10/09/2020 14:00,094XX S ASHLAND AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,BANK,N,N,2221,21,11,1167328,1842070,41.72218865,-87.66269961,"(41.722188649, -87.662699611)"
JD393475,10/09/2020 6:00,023XX S KEDZIE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1033,12,14,1155395,1888232,41.84911071,-87.70517351,"(41.849110705, -87.70517351)"
JD394086,10/09/2020 0:00,006XX N GREEN ST,820,THEFT,$500 AND UNDER,STREET,N,N,1214,27,6,1170598,1904962,41.89470034,-87.64888746,"(41.894700343, -87.648887462)"
JD394015,10/09/2020 16:23,047XX W CHICAGO AVE,560,ASSAULT,SIMPLE,RESIDENCE,Y,Y,1111,28,08A,1144600,1904890,41.89503218,-87.74437323,"(41.895032182, -87.744373225)"
JD395275,10/09/2020 7:00,008XX S PAULINA ST,810,THEFT,OVER $500,SIDEWALK,N,N,1231,27,6,1165180,1896388,41.87128948,-87.66902992,"(41.871289484, -87.669029922)"
JD396725,10/08/2020 16:00,076XX S SANGAMON ST,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,N,N,621,17,26,1171298,1854206,41.75540571,-87.64780399,"(41.755405707, -87.647803985)"
JD398822,10/09/2020 9:00,048XX N HAMLIN AVE,870,THEFT,POCKET-PICKING,CTA BUS,N,N,1712,35,6,1150186,1931793,41.96874925,-87.72315394,"(41.968749253, -87.723153935)"
