CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE266891,06/15/2021 12:54:00 PM,043XX N CLARENDON AVE,584,STALKING,VIOLATION OF STALKING NO CONTACT ORDER,RESIDENCE,N,N,1915,46,26,1170136,1929025,41.96074046,-87.64987981,"(41.96074046, -87.649879808)"
JE266515,06/15/2021 07:25:00 AM,031XX S WELLS ST,460,BATTERY,SIMPLE,TAXICAB,N,N,915,11,08B,1175129,1884197,41.8376194,-87.63286881,"(41.837619404, -87.632868811)"
JE267041,06/15/2021 05:30:00 AM,006XX N LA SALLE DR,890,THEFT,FROM BUILDING,APARTMENT,N,N,1832,42,6,1175015,1904892,41.89441042,-87.63266732,"(41.894410424, -87.632667323)"
JE266373,06/15/2021 12:28:00 AM,106XX S INDIANA AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,512,9,08A,1179465,1834482,41.70109812,-87.6184745,"(41.701098117, -87.618474497)"
JE267365,06/15/2021 07:20:00 PM,060XX W NORTH AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,2513,29,15,1135779,1910009,41.90924095,-87.77664894,"(41.909240949, -87.776648938)"
JE267452,06/15/2021 09:19:00 PM,057XX S LAKE SHORE DR,820,THEFT,$500 AND UNDER,PARK PROPERTY,N,Y,331,5,6,1189729,1867390,41.79116079,-87.57983659,"(41.791160785, -87.579836586)"
JE267351,06/15/2021 07:33:00 PM,047XX W 63RD ST,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,813,13,6,1146030,1862417,41.77845331,-87.74019833,"(41.778453309, -87.74019833)"
JE266465,06/15/2021 05:09:00 AM,013XX N WICKER PARK AVE,031A,ROBBERY,ARMED - HANDGUN,ALLEY,N,N,1424,1,3,1164118,1909064,41.90609592,-87.67257055,"(41.906095915, -87.672570551)"
JE266405,06/15/2021 01:18:00 AM,098XX S MERRION AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,431,10,04A,1192813,1839912,41.71568417,-87.56942305,"(41.715684174, -87.569423051)"
JE267093,06/15/2021 04:16:00 PM,039XX W GLADYS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE - YARD (FRONT / BACK),N,N,1132,28,14,1150207,1898066,41.87619893,-87.72395798,"(41.876198927, -87.723957984)"
